"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"12/06/2026 00:00:00 - 12/06/2026 01:00:00","BZN|CH","Without Sequence","114.93","",""
"12/06/2026 01:00:00 - 12/06/2026 02:00:00","BZN|CH","Without Sequence","104.96","",""
"12/06/2026 02:00:00 - 12/06/2026 03:00:00","BZN|CH","Without Sequence","99.70","",""
"12/06/2026 03:00:00 - 12/06/2026 04:00:00","BZN|CH","Without Sequence","96.40","",""
"12/06/2026 04:00:00 - 12/06/2026 05:00:00","BZN|CH","Without Sequence","98.40","",""
"12/06/2026 05:00:00 - 12/06/2026 06:00:00","BZN|CH","Without Sequence","99.77","",""
"12/06/2026 06:00:00 - 12/06/2026 07:00:00","BZN|CH","Without Sequence","110.30","",""
"12/06/2026 07:00:00 - 12/06/2026 08:00:00","BZN|CH","Without Sequence","120.69","",""
"12/06/2026 08:00:00 - 12/06/2026 09:00:00","BZN|CH","Without Sequence","116.90","",""
"12/06/2026 09:00:00 - 12/06/2026 10:00:00","BZN|CH","Without Sequence","109.35","",""
"12/06/2026 10:00:00 - 12/06/2026 11:00:00","BZN|CH","Without Sequence","100.10","",""
"12/06/2026 11:00:00 - 12/06/2026 12:00:00","BZN|CH","Without Sequence","93.70","",""
"12/06/2026 12:00:00 - 12/06/2026 13:00:00","BZN|CH","Without Sequence","77.00","",""
"12/06/2026 13:00:00 - 12/06/2026 14:00:00","BZN|CH","Without Sequence","68.00","",""
"12/06/2026 14:00:00 - 12/06/2026 15:00:00","BZN|CH","Without Sequence","57.37","",""
"12/06/2026 15:00:00 - 12/06/2026 16:00:00","BZN|CH","Without Sequence","64.34","",""
"12/06/2026 16:00:00 - 12/06/2026 17:00:00","BZN|CH","Without Sequence","74.00","",""
"12/06/2026 17:00:00 - 12/06/2026 18:00:00","BZN|CH","Without Sequence","88.06","",""
"12/06/2026 18:00:00 - 12/06/2026 19:00:00","BZN|CH","Without Sequence","98.00","",""
"12/06/2026 19:00:00 - 12/06/2026 20:00:00","BZN|CH","Without Sequence","107.96","",""
"12/06/2026 20:00:00 - 12/06/2026 21:00:00","BZN|CH","Without Sequence","117.10","",""
"12/06/2026 21:00:00 - 12/06/2026 22:00:00","BZN|CH","Without Sequence","115.32","",""
"12/06/2026 22:00:00 - 12/06/2026 23:00:00","BZN|CH","Without Sequence","110.00","",""
"12/06/2026 23:00:00 - 13/06/2026 00:00:00","BZN|CH","Without Sequence","101.79","",""
