T_room,T_amb,Q_AC_kW,COP_inner,clamped
17.0,-1.0,3.5060440066065883,6.532819488606918,True
17.0,1.0,3.5060440066065883,6.532819488606918,True
17.0,3.0,3.5060440066065883,6.532819488606918,True
17.0,5.0,3.5060440066065883,6.532819488606918,True
17.0,7.0,3.5060440066065883,6.532819488606918,True
17.0,9.0,3.5060440066065883,6.532819488606918,True
17.0,11.0,3.5060440066065883,6.532819488606918,True
17.0,13.0,3.5060440066065883,6.532819488606918,True
17.0,15.0,3.5060440066065883,6.532819488606918,True
17.0,17.0,3.5060440066065883,6.532819488606918,True
17.0,19.0,3.468076166109619,6.330773058055782,False
17.0,21.0,3.3740631446904072,5.8664154945376605,False
17.0,23.0,3.280314865264743,5.448720540136601,False
17.0,25.0,3.1868243637016422,5.071277399398014,False
17.0,27.0,3.093589971866913,4.7287381628575265,False
17.0,29.0,3.0006140946942637,4.416606852912969,False
17.0,31.0,2.9079022512366555,4.131078491504894,False
17.0,33.0,2.8154623123437257,3.868913978314962,False
17.0,35.0,2.7233038955528848,3.6273413470743816,False
17.0,37.0,2.6314378941249976,3.4039769006772382,False
17.5,-1.0,3.549514584426648,6.536617538882286,True
17.5,1.0,3.549514584426648,6.536617538882286,True
17.5,3.0,3.549514584426648,6.536617538882286,True
17.5,5.0,3.549514584426648,6.536617538882286,True
17.5,7.0,3.549514584426648,6.536617538882286,True
17.5,9.0,3.549514584426648,6.536617538882286,True
17.5,11.0,3.549514584426648,6.536617538882286,True
17.5,13.0,3.549514584426648,6.536617538882286,True
17.5,15.0,3.549514584426648,6.536617538882286,True
17.5,17.0,3.549514584426648,6.536617538882286,True
17.5,19.0,3.5393518993028117,6.482262095285229,False
17.5,21.0,3.443821980630047,6.000752597825289,False
17.5,23.0,3.348563556916545,5.568404159808254,False
17.5,25.0,3.253567694275703,5.178373721331341,False
17.5,27.0,3.158831129562339,4.824967563706895,False
17.5,29.0,3.064354946035178,4.503410248280719,False
17.5,31.0,2.9701435416376256,4.2096690837871895,False
17.5,33.0,2.876203813036172,3.9403181261902795,False
17.5,35.0,2.782544510127065,3.692431167929571,False
17.5,37.0,2.6891757342206533,3.4634964927550316,False
18.0,-1.0,3.5932495569131553,6.53965402064754,True
18.0,1.0,3.5932495569131553,6.53965402064754,True
18.0,3.0,3.5932495569131553,6.53965402064754,True
18.0,5.0,3.5932495569131553,6.53965402064754,True
18.0,7.0,3.5932495569131553,6.53965402064754,True
18.0,9.0,3.5932495569131553,6.53965402064754,True
18.0,11.0,3.5932495569131553,6.53965402064754,True
18.0,13.0,3.5932495569131553,6.53965402064754,True
18.0,15.0,3.5932495569131553,6.53965402064754,True
18.0,17.0,3.5932495569131553,6.53965402064754,True
18.0,19.0,3.5932495569131553,6.53965402064754,True
18.0,21.0,3.5147096699441827,6.139739272235826,False
18.0,23.0,3.4179192391360744,5.692017711118896,False
18.0,25.0,3.321396636533713,5.288809667217056,False
18.0,27.0,3.225136897171531,4.924049494532709,False
18.0,29.0,3.1291397002807284,4.592662052003471,False
18.0,31.0,3.0334082577651422,4.290371080852194,False
18.0,33.0,2.93794843981353,4.013551269622528,False
18.0,35.0,2.8427680856804947,3.75911220704064,False
18.0,37.0,2.747876468635785,3.5244061849940063,False
18.5,-1.0,3.637245983558768,6.541935679788177,True
18.5,1.0,3.637245983558768,6.541935679788177,True
18.5,3.0,3.637245983558768,6.541935679788177,True
18.5,5.0,3.637245983558768,6.541935679788177,True
18.5,7.0,3.637245983558768,6.541935679788177,True
18.5,9.0,3.637245983558768,6.541935679788177,True
18.5,11.0,3.637245983558768,6.541935679788177,True
18.5,13.0,3.637245983558768,6.541935679788177,True
18.5,15.0,3.637245983558768,6.541935679788177,True
18.5,17.0,3.637245983558768,6.541935679788177,True
18.5,19.0,3.637245983558768,6.541935679788177,True
18.5,21.0,3.586741436541408,6.283614527298011,False
18.5,23.0,3.4883967415633834,5.819754395662231,False
18.5,25.0,3.3903256624721707,5.402742422287484,False
18.5,27.0,3.292521416820873,5.026112621659844,False
18.5,29.0,3.1949821911301415,4.684468206772981,False
18.5,31.0,3.097709941696379,4.373272215596495,False
18.5,33.0,3.000709456464447,4.088686470236025,False
18.5,35.0,2.903987618397078,3.827445644525094,False
18.5,37.0,2.807552834574252,3.5867574868569325,False
19.0,-1.0,3.6815008131591975,6.5434696624305655,True
19.0,1.0,3.6815008131591975,6.5434696624305655,True
19.0,3.0,3.6815008131591975,6.5434696624305655,True
19.0,5.0,3.6815008131591975,6.5434696624305655,True
19.0,7.0,3.6815008131591975,6.5434696624305655,True
19.0,9.0,3.6815008131591975,6.5434696624305655,True
19.0,11.0,3.6815008131591975,6.5434696624305655,True
19.0,13.0,3.6815008131591975,6.5434696624305655,True
19.0,15.0,3.6815008131591975,6.5434696624305655,True
19.0,17.0,3.6815008131591975,6.5434696624305655,True
19.0,19.0,3.6815008131591975,6.5434696624305655,True
19.0,21.0,3.6599327300249542,6.432633081758667,False
19.0,23.0,3.560011104100603,5.951819570615207,False
19.0,25.0,3.4603694420469613,5.520338644367013,False
19.0,27.0,3.360999018512016,5.13129304024814,False
19.0,29.0,3.261896431685957,4.778940515813994,False
19.0,31.0,3.163062307636852,4.458464870260481,False
19.0,33.0,3.064500292536407,4.165800498134294,False
19.0,35.0,2.9662162645462504,3.8974956340914773,False
19.0,37.0,2.8682177241950613,3.650604304362712,False
19.5,-1.0,3.7260108812269146,6.544263497994714,True
19.5,1.0,3.7260108812269146,6.544263497994714,True
19.5,3.0,3.7260108812269146,6.544263497994714,True
19.5,5.0,3.7260108812269146,6.544263497994714,True
19.5,7.0,3.7260108812269146,6.544263497994714,True
19.5,9.0,3.7260108812269146,6.544263497994714,True
19.5,11.0,3.7260108812269146,6.544263497994714,True
19.5,13.0,3.7260108812269146,6.544263497994714,True
19.5,15.0,3.7260108812269146,6.544263497994714,True
19.5,17.0,3.7260108812269146,6.544263497994714,True
19.5,19.0,3.7260108812269146,6.544263497994714,True
19.5,21.0,3.7260108812269146,6.544263497994714,True
19.5,23.0,3.632777582562863,6.08843168656614,False
19.5,25.0,3.531542848000508,5.641775167281156,False
19.5,27.0,3.4305842243412714,5.239734805757247,False
19.5,29.0,3.32989661821209,4.876197047082024,False
19.5,31.0,3.2294792453190713,4.546046385731746,False
19.5,33.0,3.1293345464475992,4.244974069999424,False
19.5,35.0,3.029467343360878,3.9693294874027676,False
19.5,37.0,2.9298841872954413,3.716003083677202,False
20.0,-1.0,3.770772907297929,6.544325081705468,True
20.0,1.0,3.770772907297929,6.544325081705468,True
20.0,3.0,3.770772907297929,6.544325081705468,True
20.0,5.0,3.770772907297929,6.544325081705468,True
20.0,7.0,3.770772907297929,6.544325081705468,True
20.0,9.0,3.770772907297929,6.544325081705468,True
20.0,11.0,3.770772907297929,6.544325081705468,True
20.0,13.0,3.770772907297929,6.544325081705468,True
20.0,15.0,3.770772907297929,6.544325081705468,True
20.0,17.0,3.770772907297929,6.544325081705468,True
20.0,19.0,3.770772907297929,6.544325081705468,True
20.0,21.0,3.770772907297929,6.544325081705468,True
20.0,23.0,3.706711654659466,6.2298233099702,False
20.0,25.0,3.603860960940921,5.767239765431918,False
20.0,27.0,3.501291752918132,5.351590510005358,False
20.0,29.0,3.398997134054159,4.976362570206376,False
20.0,31.0,3.2969748235370067,4.636119395047451,False
20.0,33.0,3.195225988715117,4.3262921051788945,False
20.0,35.0,3.093754340016794,4.043017871885641,False
20.0,37.0,2.99256543408419,3.7830129648118787,False
20.5,-1.0,3.815783491941105,6.543662656610529,True
20.5,1.0,3.815783491941105,6.543662656610529,True
20.5,3.0,3.815783491941105,6.543662656610529,True
20.5,5.0,3.815783491941105,6.543662656610529,True
20.5,7.0,3.815783491941105,6.543662656610529,True
20.5,9.0,3.815783491941105,6.543662656610529,True
20.5,11.0,3.815783491941105,6.543662656610529,True
20.5,13.0,3.815783491941105,6.543662656610529,True
20.5,15.0,3.815783491941105,6.543662656610529,True
20.5,17.0,3.815783491941105,6.543662656610529,True
20.5,19.0,3.815783491941105,6.543662656610529,True
20.5,21.0,3.815783491941105,6.543662656610529,True
20.5,23.0,3.7818290260122915,6.376242238297027,False
20.5,25.0,3.6773390743789913,5.896931985041783,False
20.5,27.0,3.573136523691106,5.467021905595805,False
20.5,29.0,3.4692125534346006,5.079569028770664,False
20.5,31.0,3.365563293534485,4.728792182869485,False
20.5,33.0,3.2621885650239673,4.409844000967323,False
20.5,35.0,3.159090908445305,4.118635022798332,False
20.5,37.0,3.056274837783834,3.8516959459645963,False
21.0,-1.0,3.8610391144384555,6.542284795034502,True
21.0,1.0,3.8610391144384555,6.542284795034502,True
21.0,3.0,3.8610391144384555,6.542284795034502,True
21.0,5.0,3.8610391144384555,6.542284795034502,True
21.0,7.0,3.8610391144384555,6.542284795034502,True
21.0,9.0,3.8610391144384555,6.542284795034502,True
21.0,11.0,3.8610391144384555,6.542284795034502,True
21.0,13.0,3.8610391144384555,6.542284795034502,True
21.0,15.0,3.8610391144384555,6.542284795034502,True
21.0,17.0,3.8610391144384555,6.542284795034502,True
21.0,19.0,3.8610391144384555,6.542284795034502,True
21.0,21.0,3.8610391144384555,6.542284795034502,True
21.0,23.0,3.85814563792512,6.527952720925472,False
21.0,25.0,3.751992701383409,6.0310640517544805,False
21.0,27.0,3.646133662792239,5.586200586061027,False
21.0,29.0,3.5405576466874984,5.185956053612296,False
21.0,31.0,3.4352590937674696,4.824179075405882,False
21.0,33.0,3.330236400612852,4.495723930665591,False
21.0,35.0,3.225490875411247,4.196258972474132,False
21.0,37.0,3.12102593845119,3.922117060917487,False
21.5,-1.0,3.906536128876395,6.540200379734068,True
21.5,1.0,3.906536128876395,6.540200379734068,True
21.5,3.0,3.906536128876395,6.540200379734068,True
21.5,5.0,3.906536128876395,6.540200379734068,True
21.5,7.0,3.906536128876395,6.540200379734068,True
21.5,9.0,3.906536128876395,6.540200379734068,True
21.5,11.0,3.906536128876395,6.540200379734068,True
21.5,13.0,3.906536128876395,6.540200379734068,True
21.5,15.0,3.906536128876395,6.540200379734068,True
21.5,17.0,3.906536128876395,6.540200379734068,True
21.5,19.0,3.906536128876395,6.540200379734068,True
21.5,21.0,3.906536128876395,6.540200379734068,True
21.5,23.0,3.906536128876395,6.540200379734068,True
21.5,25.0,3.827837579140964,6.169861855398184,False
21.5,27.0,3.720298506776429,5.709308721036632,False
21.5,29.0,3.613047383400978,5.2956715155650524,False
21.5,31.0,3.5060768526012835,4.922400858694216,False
21.5,33.0,3.3993838026317804,4.584031162071228,False
21.5,35.0,3.2929682426061824,4.275971794289144,False
21.5,37.0,3.1868324448608454,3.9943445670363174,False
22.0,-1.0,3.9522707615329113,6.53741858470042,True
22.0,1.0,3.9522707615329113,6.53741858470042,True
22.0,3.0,3.9522707615329113,6.53741858470042,True
22.0,5.0,3.9522707615329113,6.53741858470042,True
22.0,7.0,3.9522707615329113,6.53741858470042,True
22.0,9.0,3.9522707615329113,6.53741858470042,True
22.0,11.0,3.9522707615329113,6.53741858470042,True
22.0,13.0,3.9522707615329113,6.53741858470042,True
22.0,15.0,3.9522707615329113,6.53741858470042,True
22.0,17.0,3.9522707615329113,6.53741858470042,True
22.0,19.0,3.9522707615329113,6.53741858470042,True
22.0,21.0,3.9522707615329113,6.53741858470042,True
22.0,23.0,3.9522707615329113,6.53741858470042,True
22.0,25.0,3.90488967604656,6.31356602847032,False
22.0,27.0,3.795646608752819,5.8365398595755495,False
22.0,29.0,3.6866969378404075,5.408872128234079,False
22.0,31.0,3.578031393194058,5.023585233956725,False
22.0,33.0,3.4696452646022404,4.674870403680298,False
22.0,35.0,3.361537190767789,4.3578598675307925,False
22.0,37.0,3.2537082383434033,4.068450149176772,False
22.5,-1.0,3.9982391073041743,6.53394885533302,True
22.5,1.0,3.9982391073041743,6.53394885533302,True
22.5,3.0,3.9982391073041743,6.53394885533302,True
22.5,5.0,3.9982391073041743,6.53394885533302,True
22.5,7.0,3.9982391073041743,6.53394885533302,True
22.5,9.0,3.9982391073041743,6.53394885533302,True
22.5,11.0,3.9982391073041743,6.53394885533302,True
22.5,13.0,3.9982391073041743,6.53394885533302,True
22.5,15.0,3.9982391073041743,6.53394885533302,True
22.5,17.0,3.9982391073041743,6.53394885533302,True
22.5,19.0,3.9982391073041743,6.53394885533302,True
22.5,21.0,3.9982391073041743,6.53394885533302,True
22.5,23.0,3.9982391073041743,6.53394885533302,True
22.5,25.0,3.983165198147481,6.4624331219402595,False
22.5,27.0,3.8721937438060587,5.9680998030067665,False
22.5,29.0,3.761521693627,5.5257241008346085,False
22.5,31.0,3.651137737619772,5.127867309207148,False
22.5,33.0,3.5410354701131825,4.768352177270905,False
22.5,35.0,3.431212083039248,4.442014161547537,False
22.5,37.0,3.321667375873419,4.144509137737461,False
23.0,-1.0,4.044437126310273,6.529800888627972,True
23.0,1.0,4.044437126310273,6.529800888627972,True
23.0,3.0,4.044437126310273,6.529800888627972,True
23.0,5.0,4.044437126310273,6.529800888627972,True
23.0,7.0,4.044437126310273,6.529800888627972,True
23.0,9.0,4.044437126310273,6.529800888627972,True
23.0,11.0,4.044437126310273,6.529800888627972,True
23.0,13.0,4.044437126310273,6.529800888627972,True
23.0,15.0,4.044437126310273,6.529800888627972,True
23.0,17.0,4.044437126310273,6.529800888627972,True
23.0,19.0,4.044437126310273,6.529800888627972,True
23.0,21.0,4.044437126310273,6.529800888627972,True
23.0,23.0,4.044437126310273,6.529800888627972,True
23.0,25.0,4.044437126310273,6.529800888627972,True
23.0,27.0,3.949955914914272,6.1042075564477285,False
23.0,29.0,3.8375372488404116,5.646403847836366,False
23.0,31.0,3.725411111363804,5.235390132189412,False
23.0,33.0,3.6135692968515762,4.864593220761332,False
23.0,35.0,3.5020074686342713,4.528530542216242,False
23.0,37.0,3.390724093440056,4.2226007432686385,False
23.5,-1.0,4.090860640245747,6.52498461295871,True
23.5,1.0,4.090860640245747,6.52498461295871,True
23.5,3.0,4.090860640245747,6.52498461295871,True
23.5,5.0,4.090860640245747,6.52498461295871,True
23.5,7.0,4.090860640245747,6.52498461295871,True
23.5,9.0,4.090860640245747,6.52498461295871,True
23.5,11.0,4.090860640245747,6.52498461295871,True
23.5,13.0,4.090860640245747,6.52498461295871,True
